Date, Open, High, Low, Close
02/17/23, 33677.01, 33846.64, 33517.73, 33826.69
02/16/23, 33992.09, 34041.16, 33686.59, 33696.85
02/15/23, 34008.63, 34130.49, 33833.10, 34128.05
02/14/23, 34194.09, 34331.47, 33827.45, 34089.27
02/13/23, 33887.39, 34249.60, 33887.39, 34245.93
